,Date,Time,mavlink_system_time_t.time_unix_usec,mavlink_system_time_t.time_boot_ms,mavlink_scaled_pressure_t.press_abs,mavlink_scaled_pressure_t.press_diff,mavlink_scaled_pressure_t.temperature,mavlink_power_status_t.Vcc,mavlink_power_status_t.Vservo,mavlink_attitude_t.roll,mavlink_attitude_t.pitch,mavlink_attitude_t.yaw,mavlink_attitude_t.rollspeed,mavlink_attitude_t.pitchspeed,mavlink_attitude_t.yawspeed,mavlink_ahrs_t.omegaIx,mavlink_ahrs_t.omegaIy,mavlink_ahrs_t.omegaIz,mavlink_ahrs_t.accel_weight,mavlink_ahrs_t.renorm_val,mavlink_ahrs_t.error_rp,mavlink_ahrs_t.error_yaw,mavlink_global_position_int_t.lat,mavlink_global_position_int_t.lon,mavlink_global_position_int_t.alt,mavlink_global_position_int_t.relative_alt,mavlink_global_position_int_t.vx,mavlink_global_position_int_t.vy,mavlink_global_position_int_t.vz,mavlink_wind_t.direction,mavlink_wind_t.speed,mavlink_wind_t.speed_z,mavlink_servo_output_raw_t.servo1_raw,mavlink_servo_output_raw_t.servo2_raw,mavlink_servo_output_raw_t.servo3_raw,mavlink_servo_output_raw_t.servo4_raw,mavlink_servo_output_raw_t.servo5_raw,mavlink_servo_output_raw_t.servo6_raw,mavlink_servo_output_raw_t.servo7_raw,mavlink_servo_output_raw_t.servo8_raw,mavlink_servo_output_raw_t.servo9_raw,mavlink_servo_output_raw_t.servo10_raw,mavlink_servo_output_raw_t.servo11_raw,mavlink_servo_output_raw_t.servo12_raw,mavlink_servo_output_raw_t.servo13_raw,mavlink_servo_output_raw_t.servo14_raw,mavlink_servo_output_raw_t.servo15_raw,mavlink_servo_output_raw_t.servo16_raw,mavlink_vfr_hud_t.airspeed,mavlink_vfr_hud_t.groundspeed,mavlink_vfr_hud_t.climb,mavlink_vfr_hud_t.heading,mavlink_vfr_hud_t.throttle,mavlink_gps_raw_int_t.satellites_visible,mavlink_nav_controller_output_t.nav_roll,mavlink_nav_controller_output_t.nav_pitch,mavlink_nav_controller_output_t.alt_error,mavlink_nav_controller_output_t.aspd_error,mavlink_nav_controller_output_t.xtrack_error,mavlink_nav_controller_output_t.nav_bearing,mavlink_nav_controller_output_t.target_bearing
78000,9/12/2019, 10:01:41 ,1568260000000000.0,1617773,903.367,0.8662190000000001,6112,4967,5015,0.34388559999999996,0.3058031,-2.1400200000000003,-0.07533956,-0.1259989,0.24453470000000002,-0.003259877,-0.002315852,-0.002132311,0,0,0.02103462,0.1989963,-7.0387771,106.9219959,1019060,94995,-224,-1794,-366,-175.7146,4.918704,0.0,1615,1637,1900,1406,1483,1473,0,0,0,0,0,0,0,0,0,0,13.05676,18.03019,3.584283,238,100,23,43.0,15.0,5.01,-655.9611,267.9691,27,27
78013,9/12/2019, 10:01:41 ,1568260000000000.0,1618114,903.2682,0.830918,6111,5043,4920,0.34061779999999997,0.2775933,-2.056314,-0.25635589999999997,0.06701026,0.2238576,-0.003258393,-0.002312577,-0.002123531,0,0,0.02306036,0.20661849999999998,-7.0387820,106.9219473,1020180,96114,-166,-1825,-348,-175.4639,4.9635739999999995,0.0,1612,1613,1884,1407,1481,1471,0,0,0,0,0,0,0,0,0,0,12.737960000000001,18.32682,2.6612560000000003,243,100,23,43.07,13.8,4.25,-692.5703,269.983,28,28
78030,9/12/2019, 10:01:41 ,1568260000000000.0,1618430,903.1337,0.7446228,6110,5072,4995,0.3752179,0.27182340000000005,-1.982833,0.07973638,-0.06908534,0.21613870000000002,-0.003253382,-0.002307304,-0.002112981,0,0,0.02066266,0.20313820000000002,-7.0387847,106.9219044,1021100,97036,-93,-1851,-365,-175.2923,4.990238,0.0,1601,1612,1820,1410,1475,1462,0,0,0,0,0,0,0,0,0,0,12.597669999999999,18.57903,3.63554,246,90,23,43.56,7.7,2.48,-711.9579,274.8929,29,29
78047,9/12/2019, 10:01:42 ,1568260000000000.0,1618773,902.9664,0.9083937,6108,5067,5017,0.47644659999999994,0.19742320000000002,-1.927914,-0.05983577,-0.16005450000000002,0.09766044,-0.003253148,-0.002306371,-0.002105927,0,0,0.01975168,0.189769,-7.0387851,106.9218128,1022690,98623,28,-1914,-220,-175.1138,5.014643,0.0,1586,1596,1732,1414,1467,1451,0,0,0,0,0,0,0,0,0,0,12.697569999999999,19.014120000000002,3.2255220000000002,248,78,23,43.86,4.73,1.61,-719.2983,277.7281,30,30
78060,9/12/2019, 10:01:42 ,1568260000000000.0,1619051,902.9384,0.7934988000000001,6107,5085,4981,0.49799079999999996,0.1372146,-1.895945,0.02554038,-0.11847200000000001,0.2131397,-0.003255433,-0.0023036379999999998,-0.002097482,0,0,0.01873562,0.1788414,-7.0387833,106.9217644,1023150,99083,88,-1933,-121,-174.9244,5.042969,0.0,1589,1605,1676,1414,1469,1453,0,0,0,0,0,0,0,0,0,0,12.924539999999999,19.24241,3.9526879999999998,249,70,23,44.29,3.06,1.18,-708.7051,279.5827,30,30
78074,9/12/2019, 10:01:42 ,1568260000000000.0,1619373,902.9161,0.7099627,6106,5085,4969,0.5213693,0.07082981,-1.861904,0.1426339,-0.05751987,0.1804319,-0.003256044,-0.002301871,-0.002086852,0,0,0.0191053,0.173681,-7.0387796,106.9217158,1023400,99336,180,-1954,-44,-174.7276,5.070665,0.0,1579,1636,1588,1417,1463,1444,0,0,0,0,0,0,0,0,0,0,12.253169999999999,19.512320000000003,2.1712569999999998,252,64,23,44.6,1.07,0.79,-703.5692,282.305,31,31
78092,9/12/2019, 10:01:43 ,1568260000000000.0,1619730,902.9026,0.7837456,6104,5048,4971,0.5634704,0.04549946,-1.8072689999999998,-0.1383456,0.0258613,0.1785664,-0.003258,-0.00229759,-0.002072922,0,0,0.02412916,0.1785075,-7.0387736,106.9216661,1023410,99342,275,-1972,41,-174.4647,5.108093,0.0,1576,1639,1572,1417,1462,1443,0,0,0,0,0,0,0,0,0,0,12.19678,19.81608,0.5180610999999999,254,60,23,44.8,-1.05,0.69,-680.0011,286.5975,33,33
78105,9/12/2019, 10:01:43 ,1568260000000000.0,1620016,902.9399,0.7806451,6102,5085,4976,0.5401573000000001,0.0207092,-1.757065,-0.2230817,0.08166418,0.2385328,-0.003253716,-0.002289535,-0.0020584139999999997,0,0,0.03326761,0.1863787,-7.0387650,106.9216163,1023200,99135,367,-1982,120,-174.2341,5.139652,0.0,1592,1642,1556,1413,1470,1455,0,0,0,0,0,0,0,0,0,0,12.35065,20.14049,-0.01384735,258,58,23,44.83,-1.61,0.97,-678.7623,288.972,34,34
78118,9/12/2019, 10:01:43 ,1568260000000000.0,1620291,902.9613,0.8340124,6102,5069,4954,0.519169,-0.01857258,-1.6967889999999999,0.06708554,-0.04541369,0.23896910000000002,-0.003252943,-0.002286277,-0.0020501960000000002,0,0,0.03191717,0.192385,-7.0387541,106.9215665,1022790,98722,477,-1991,174,-174.0745,5.160539,0.0,1588,1662,1548,1414,1468,1452,0,0,0,0,0,0,0,0,0,0,12.27923,20.47104,-0.2430511,262,56,23,44.82,-1.73,1.28,-687.9797,290.4441,34,34
78131,9/12/2019, 10:01:44 ,1568260000000000.0,1620613,902.9805,0.9113344999999999,6100,5067,4942,0.5527545,-0.0333582,-1.617216,0.3355671,0.1859431,0.25440999999999997,-0.0032532190000000003,-0.002280778,-0.002039557,0,0,0.02579397,0.2048942,-7.0387415,106.9215197,1022240,98177,556,-1991,255,-173.7738,5.198432,0.0,1575,1664,1556,1418,1461,1442,0,0,0,0,0,0,0,0,0,0,12.923160000000001,20.67739,-1.0121879999999999,265,56,23,44.81,-1.54,1.93,-710.0109,292.54200000000003,35,35
